id,title,category,subcategory,keywords
J0001,Software Engineer,Software & Data,Core role,software & data
J0002,Backend Developer,Software & Data,Core role,software & data
J0003,Frontend Developer,Software & Data,Core role,software & data
J0004,Full Stack Developer,Software & Data,Core role,software & data
J0005,Mobile App Developer,Software & Data,Core role,software & data
J0006,iOS Developer,Software & Data,Core role,software & data
J0007,Android Developer,Software & Data,Core role,software & data
J0008,Game Developer,Software & Data,Core role,software & data
J0009,Gameplay Programmer,Software & Data,Core role,software & data
J0010,Graphics Programmer,Software & Data,Core role,software & data
J0011,Systems Programmer,Software & Data,Core role,software & data
J0012,Embedded Software Engineer,Software & Data,Core role,software & data
J0013,Firmware Engineer,Software & Data,Core role,software & data
J0014,DevOps Engineer,Software & Data,Core role,software & data
J0015,Site Reliability Engineer,Software & Data,Core role,software & data
J0016,Cloud Engineer,Software & Data,Core role,software & data
J0017,Platform Engineer,Software & Data,Core role,software & data
J0018,Machine Learning Engineer,Software & Data,Core role,software & data
J0019,AI Engineer,Software & Data,Core role,software & data
J0020,Data Scientist,Software & Data,Core role,software & data
J0021,Data Analyst,Software & Data,Core role,software & data
J0022,Business Intelligence Analyst,Software & Data,Core role,software & data
J0023,Data Engineer,Software & Data,Core role,software & data
J0024,Analytics Engineer,Software & Data,Core role,software & data
J0025,Database Administrator,Software & Data,Core role,software & data
J0026,Cybersecurity Analyst,Software & Data,Core role,software & data
J0027,Security Engineer,Software & Data,Core role,software & data
J0028,Penetration Tester,Software & Data,Core role,software & data
J0029,Network Engineer,Software & Data,Core role,software & data
J0030,Solutions Architect,Software & Data,Core role,software & data
J0031,Technical Product Manager,Software & Data,Core role,software & data
J0032,QA Engineer,Software & Data,Core role,software & data
J0033,Automation Tester,Software & Data,Core role,software & data
J0034,Robotics Software Engineer,Software & Data,Core role,software & data
J0035,Computer Vision Engineer,Software & Data,Core role,software & data
J0036,NLP Engineer,Software & Data,Core role,software & data
J0037,MLOps Engineer,Software & Data,Core role,software & data
J0038,Quant Developer,Software & Data,Core role,software & data
J0039,UX Engineer,Software & Data,Core role,software & data
J0040,Developer Advocate,Software & Data,Core role,software & data
J0041,Mathematician,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0042,Applied Mathematician,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0043,Statistician,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0044,Biostatistician,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0045,Actuary,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0046,Operations Research Analyst,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0047,Physics Researcher,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0048,Mathematical Physicist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0049,Computational Physicist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0050,Theoretical Physicist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0051,Astronomer,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0052,Chemist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0053,Materials Scientist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0054,Biologist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0055,Geneticist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0056,Neuroscientist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0057,Climate Scientist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0058,Geologist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0059,Hydrologist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0060,Oceanographer,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0061,Research Scientist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0062,Lab Technician,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0063,Research Assistant,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0064,Scientific Programmer,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0065,Experimental Physicist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0066,Particle Physicist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0067,Quantum Information Researcher,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0068,Epidemiologist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0069,Bioinformatics Scientist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0070,Cognitive Scientist,"Mathematics, Science & Research",Core role,"mathematics, science & research"
J0071,Elementary School Teacher,Education,Core role,education
J0072,Middle School Teacher,Education,Core role,education
J0073,High School Math Teacher,Education,Core role,education
J0074,High School Physics Teacher,Education,Core role,education
J0075,High School Computer Science Teacher,Education,Core role,education
J0076,High School English Teacher,Education,Core role,education
J0077,High School History Teacher,Education,Core role,education
J0078,Special Education Teacher,Education,Core role,education
J0079,ESL Teacher,Education,Core role,education
J0080,College Instructor,Education,Core role,education
J0081,University Professor,Education,Core role,education
J0082,Math Tutor,Education,Core role,education
J0083,Coding Tutor,Education,Core role,education
J0084,Physics Tutor,Education,Core role,education
J0085,Curriculum Developer,Education,Core role,education
J0086,Instructional Designer,Education,Core role,education
J0087,Academic Advisor,Education,Core role,education
J0088,School Principal,Education,Core role,education
J0089,Education Consultant,Education,Core role,education
J0090,Corporate Trainer,Education,Core role,education
J0091,Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0092,Criminal Defense Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0093,Prosecutor,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0094,Corporate Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0095,Civil Litigation Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0096,Family Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0097,Immigration Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0098,Tax Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0099,Intellectual Property Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0100,Privacy Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0101,Human Rights Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0102,Employment Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0103,Environmental Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0104,Real Estate Lawyer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0105,Paralegal,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0106,Legal Assistant,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0107,Judge,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0108,Mediator,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0109,Policy Analyst,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0110,Legislative Assistant,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0111,Diplomat,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0112,Foreign Service Officer,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0113,City Planner,"Law, Government & Public Policy",Core role,"law, government & public policy"
J0114,Urban Planner,"Law, Government & Public Policy",Core role,"law, government & public policy"
